workclass,education,marital-status,occupation,relationship,race,gender,native-country,income
 Private, Bachelors, Never-married, Tech-support, Own-child, White, Male, United-States, <=50K
 Local-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, Black, Female, United-States, <=50K
 Federal-gov, HS-grad, Never-married, Adm-clerical, Other-relative, White, Male, United-States, <=50K
 Federal-gov, Some-college, Never-married, Other-service, Own-child, White, Male, Japan, <=50K
 Private, Bachelors, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Farming-fishing, Unmarried, White, Male, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Protective-serv, Husband, Black, Male, United-States, >50K
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Female, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Husband, White, Male, ?, >50K
 Private, 11th, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, United-States, <=50K
 State-gov, HS-grad, Never-married, Tech-support, Own-child, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 State-gov, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, India, >50K
 Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
 Federal-gov, Assoc-acdm, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, Black, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, 10th, Separated, Sales, Unmarried, White, Female, United-States, <=50K
 Private, Some-college, Divorced, Craft-repair, Not-in-family, White, Male, United-States, >50K
 Private, Prof-school, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, >50K
 Private, Some-college, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, Black, Male, United-States, >50K
 Private, HS-grad, Separated, Machine-op-inspct, Own-child, White, Female, United-States, <=50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 State-gov, Doctorate, Never-married, Exec-managerial, Not-in-family, White, Female, Italy, >50K
 Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Doctorate, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, <=50K
 Private, HS-grad, Married-spouse-absent, Sales, Not-in-family, Black, Female, United-States, <=50K
 Federal-gov, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, ?, <=50K
 State-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, India, >50K
 Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, Yugoslavia, >50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Local-gov, Some-college, Never-married, Adm-clerical, Other-relative, Black, Male, Haiti, <=50K
 State-gov, Bachelors, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
 ?, HS-grad, Never-married, ?, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private, 11th, Never-married, Other-service, Not-in-family, White, Female, Ireland, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
 Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 State-gov, Doctorate, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private, 1st-4th, Separated, Prof-specialty, Unmarried, Black, Female, United-States, <=50K
 ?, HS-grad, Married-civ-spouse, ?, Wife, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Craft-repair, Own-child, White, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Machine-op-inspct, Other-relative, White, Female, Mexico, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Other-relative, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, Philippines, <=50K
 Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K
 Local-gov, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Priv-house-serv, Other-relative, White, Female, Mexico, <=50K
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Self-emp-inc, Masters, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private, HS-grad, Divorced, Sales, Unmarried, White, Female, United-States, <=50K
 Private, 1st-4th, Separated, Machine-op-inspct, Own-child, White, Female, Guatemala, <=50K
 State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, Taiwan, <=50K
 Private, 7th-8th, Never-married, Machine-op-inspct, Other-relative, White, Male, United-States, <=50K
 ?, Some-college, Never-married, ?, Other-relative, White, Female, United-States, <=50K
 Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 State-gov, Some-college, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male, United-States, <=50K
 State-gov, Assoc-acdm, Divorced, Protective-serv, Not-in-family, Black, Male, United-States, <=50K
 State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, ?, >50K
 Private, 7th-8th, Divorced, Machine-op-inspct, Not-in-family, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 State-gov, Masters, Married-civ-spouse, Protective-serv, Husband, Black, Male, United-States, <=50K
 Private, HS-grad, Divorced, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Private, 10th, Married-civ-spouse, Craft-repair, Husband, Black, Male, United-States, <=50K
 Private, Assoc-voc, Divorced, Craft-repair, Unmarried, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Sales, Wife, White, Female, United-States, >50K
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 ?, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
 Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private, 10th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
 Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female, ?, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Local-gov, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, >50K
 State-gov, Some-college, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Local-gov, Some-college, Divorced, Protective-serv, Unmarried, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, >50K
 ?, Some-college, Never-married, ?, Own-child, White, Male, United-States, <=50K
 Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Self-emp-inc, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
 Local-gov, Assoc-acdm, Divorced, Tech-support, Not-in-family, Black, Male, United-States, <=50K
 Private, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, Portugal, <=50K
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Private, 12th, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, >50K
 Private, 10th, Separated, Other-service, Unmarried, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 Self-emp-not-inc, 11th, Never-married, Sales, Own-child, White, Male, United-States, <=50K
 Private, 7th-8th, Never-married, Transport-moving, Unmarried, White, Male, Guatemala, <=50K
 Federal-gov, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Self-emp-not-inc, Some-college, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Protective-serv, Own-child, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, Some-college, Divorced, Other-service, Not-in-family, White, Female, United-States, >50K
 Private, Some-college, Divorced, Other-service, Own-child, White, Female, United-States, <=50K
 Federal-gov, HS-grad, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
 Local-gov, Some-college, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Prof-specialty, Unmarried, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Machine-op-inspct, Unmarried, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Farming-fishing, Own-child, White, Male, United-States, >50K
 Private, Some-college, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Farming-fishing, Wife, White, Female, United-States, <=50K
 Private, Some-college, Widowed, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc, 10th, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, ?, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Unmarried, White, Female, United-States, <=50K
 Self-emp-inc, Some-college, Married-civ-spouse, Sales, Wife, White, Female, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, Iran, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Self-emp-inc, HS-grad, Never-married, Other-service, Not-in-family, Black, Male, United-States, >50K
 Private, Assoc-acdm, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Handlers-cleaners, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Never-married, Tech-support, Own-child, Black, Male, United-States, <=50K
 Private, Some-college, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Self-emp-not-inc, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
 Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, >50K
 State-gov, Bachelors, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, 9th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Assoc-acdm, Separated, Other-service, Unmarried, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Widowed, Farming-fishing, Unmarried, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, Husband, Black, Male, United-States, <=50K
 Self-emp-not-inc, Masters, Never-married, Prof-specialty, Own-child, White, Male, United-States, <=50K
 Private, 10th, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Tech-support, Not-in-family, White, Female, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, >50K
 Local-gov, Some-college, Married-spouse-absent, Adm-clerical, Own-child, White, Female, Guatemala, <=50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Own-child, Asian-Pac-Islander, Male, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Own-child, Black, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Own-child, White, Male, United-States, <=50K
 Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, Mexico, >50K
 Local-gov, Bachelors, Divorced, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Local-gov, 11th, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States, >50K
 Private, Assoc-acdm, Never-married, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, Assoc-acdm, Never-married, Exec-managerial, Own-child, Black, Female, United-States, <=50K
 Private, HS-grad, Divorced, Sales, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Exec-managerial, Unmarried, White, Female, United-States, <=50K
 Self-emp-not-inc, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Sales, Own-child, White, Female, Mexico, <=50K
 Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
 Private, 11th, Never-married, Sales, Own-child, White, Female, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Sales, Own-child, White, Female, United-States, <=50K
 Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male, Mexico, <=50K
 Private, Bachelors, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 ?, HS-grad, Never-married, ?, Own-child, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female, United-States, <=50K
 Local-gov, Masters, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, >50K
 Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, Iran, <=50K
 Local-gov, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 ?, Some-college, Never-married, ?, Unmarried, Black, Female, United-States, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, >50K
 Private, HS-grad, Divorced, Priv-house-serv, Unmarried, White, Female, United-States, <=50K
 Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, United-States, <=50K
 Private, Some-college, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male, United-States, <=50K
 Private, Assoc-voc, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private, 10th, Never-married, Other-service, Not-in-family, White, Female, United-States, <=50K
 ?, HS-grad, Never-married, ?, Other-relative, White, Male, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Adm-clerical, Wife, Black, Female, United-States, <=50K
 Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Unmarried, White, Male, ?, <=50K
 Private, 12th, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female, United-States, <=50K
 Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, 10th, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Protective-serv, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Separated, Other-service, Not-in-family, White, Female, United-States, <=50K
 Private, 9th, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States, >50K
 Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private, Assoc-voc, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Local-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, Dominican-Republic, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Other-service, Wife, White, Female, Mexico, <=50K
 Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male, United-States, >50K
 Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 State-gov, Bachelors, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Transport-moving, Not-in-family, White, Male, United-States, <=50K
 Self-emp-inc, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
 Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
 Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, Black, Male, United-States, >50K
 Self-emp-not-inc, Some-college, Separated, Farming-fishing, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private, Some-college, Separated, Other-service, Not-in-family, White, Female, United-States, <=50K
 Local-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, 10th, Married-civ-spouse, Handlers-cleaners, Wife, White, Female, United-States, <=50K
 Private, Assoc-acdm, Never-married, Adm-clerical, Unmarried, Black, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, South, <=50K
 Private, HS-grad, Separated, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Never-married, Transport-moving, Not-in-family, White, Male, United-States, <=50K
 ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male, United-States, <=50K
 Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, 11th, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Private, 5th-6th, Married-civ-spouse, Other-service, Husband, White, Male, Mexico, <=50K
 Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States, <=50K
 Private, Doctorate, Divorced, Sales, Not-in-family, White, Male, United-States, >50K
 Private, Assoc-acdm, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K
 Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Widowed, Machine-op-inspct, Unmarried, Black, Female, United-States, <=50K
 Private, 11th, Widowed, Other-service, Not-in-family, White, Female, El-Salvador, <=50K
 Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, Philippines, >50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States, <=50K
 Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States, >50K
 Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Federal-gov, Assoc-acdm, Married-civ-spouse, Tech-support, Husband, White, Male, United-States, <=50K
 Private, Bachelors, Divorced, Adm-clerical, Unmarried, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, >50K
 Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States, <=50K
 Private, 12th, Never-married, Sales, Not-in-family, White, Male, United-States, <=50K
 Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States, <=50K
 Private, 11th, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
 Local-gov, Masters, Divorced, Prof-specialty, Unmarried, White, Female, United-States, >50K
 Private, Some-college, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
 Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, <=50K
 Private, Some-college, Divorced, Exec-managerial, Not-in-family, White, Female, Italy, <=50K
 Private, 11th, Married-civ-spouse, Sales, Other-relative, White, Female, United-States, <=50K
 Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States, <=50K
 Local-gov, HS-grad, Never-married, Other-service, Own-child, Black, Male, United-States, <=50K
 Private, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States, >50K
 State-gov, Some-college, Never-married, Exec-managerial, Not-in-family, White, Female, United-States, <=50K
 Private, Bachelors, Separated, Exec-managerial, Unmarried, White, Female, United-States, <=50K
